direction_law,sampler,transport_proposal,transport_kappa,transport_steps,gradient_history,projection_probability,replicate,seed,runtime_seconds,ridge_iteration,ridge_found,stop_transport_idx,accepted_transport,transport_logp_gain,transport_endpoint_beta0,transport_endpoint_beta1,transport_endpoint_sigma,transport_endpoint_s,max_abs_beta0_transport,max_abs_beta1_transport,max_sigma_transport,max_s_transport,max_transport_jump,mean_beta0,mean_beta1,mean_sigma,mean_s,final_logp,nfev,output,stdout
projected,sas,random,10.0,100,3,0.5,13,2026062913,35.54995416710153,7422,True,100,36,96207704585.3015,530.771896643766,-5543.852541159489,116733.82326060142,1.762013172513069e-31,530.771896643766,5545.448233073335,116943.64064303538,1.3396607843397828,109.93164303759627,-55365.815353754304,1173.6395499139173,13063.266778081015,725.0186472078067,-13873.695820858644,3383159,draws/transport_direction_trials/projected_13.h5,means: -55365.8  1173.64  13063.3  725.019 | stds: 6168.96 91.9728 159.349  225.05 | Number log_density evals: 3383159 | Acceptance rate: 0.976767 | Output: draws/transport_direction_trials/projected_13.h5
kappa,sas,random,10.0,100,3,0.5,14,2026062914,35.23473308305256,8527,True,100,54,5290166828264.003,-25.075174591162092,19.441054305996268,18249.396130942532,1.6076326562824765e-12,29.151396285292865,20.462965144027134,20311.007454607185,6.3222237005572515,31.458949603169728,-55418.74034480718,1174.413217250658,13048.534339339885,738.7088402875203,-13872.078773318739,3372194,draws/transport_direction_trials/kappa_14.h5,means: -55418.7  1174.41  13048.5  738.709 | stds: 7086.62  105.71 167.708 241.395 | Number log_density evals: 3372194 | Acceptance rate: 0.9855 | Output: draws/transport_direction_trials/kappa_14.h5
projected,sas,random,10.0,100,3,0.5,14,2026062914,35.394777124980465,2908,True,100,56,5290166826747.307,-3561.6800402112203,143.51683121281707,16070.527213098949,3.917387308893937e-85,5523.077360669191,219.29395566516027,16254.454777262676,6.3222237005572515,67.66151881797882,-55190.05111708429,1171.0035007311337,13044.629825951093,725.745175400087,-13873.455502296085,3386537,draws/transport_direction_trials/projected_14.h5,means: -55190.1     1171  13044.6  725.745 | stds: 6956.38 103.805 161.064 240.413 | Number log_density evals: 3386537 | Acceptance rate: 0.957467 | Output: draws/transport_direction_trials/projected_14.h5
kappa,sas,random,10.0,100,3,0.5,15,2026062915,36.043397999950685,6399,True,100,78,3096499418.723342,33.95613819048497,1.1283810808256431,18909.187285809043,22.53442351136376,42.9219770766678,30.460888379978726,849900.6912089646,55586030563.55594,36.01659479862678,-54526.76563288771,1161.1521742709758,13046.260606885813,714.5800675075241,-13876.294035917852,3438006,draws/transport_direction_trials/kappa_15.h5,means: -54526.8  1161.15  13046.3   714.58 | stds: 6458.55 96.3428 170.801 231.192 | Number log_density evals: 3438006 | Acceptance rate: 0.990067 | Output: draws/transport_direction_trials/kappa_15.h5
projected,sas,random,10.0,100,3,0.5,15,2026062915,5.984750250005163,,False,100,18,79952265992.59595,-538.5101116954296,-209.46185118421275,1.4259882416305252,4.295574938588832e-152,572.985685980131,212.29390272786802,1.4262149381720755,0.7254274891628386,146.5787335431308,-548.0046319908014,0.0006150406209258226,19722.248291552038,4.377618349841436e-152,-19009.478515818053,564474,draws/transport_direction_trials/projected_15.h5,means:     -548.005  0.000615041      19722.2 4.37762e-152 | stds: 0.000577254 0.000577254 0.000577254 0.000577254 | Number log_density evals: 564474 | Acceptance rate: 0.220833 | Output: draws/transport_direction_trials/projected_15.h5
kappa,sas,random,10.0,100,3,0.5,16,2026062916,35.094060624949634,12765,True,100,63,3498329.3910489767,4.605711769819297,4.4023995215057115,18743.815764924268,42.17953113899719,18.237197842396007,32.21155248914643,20487.284101554782,212900100.08406332,24.366464927366334,-55590.31027588757,1176.9606590991013,13047.932038217872,719.2749722746884,-13874.79157988676,3353971,draws/transport_direction_trials/kappa_16.h5,means: -55590.3  1176.96  13047.9  719.275 | stds: 6773.01  101.03 145.987 237.403 | Number log_density evals: 3353971 | Acceptance rate: 0.989233 | Output: draws/transport_direction_trials/kappa_16.h5
projected,sas,random,10.0,100,3,0.5,16,2026062916,35.43914470798336,7220,True,100,50,6758076739775.947,548.549876495999,-2731.7061414043396,71779.55730336772,3.859046798908741e-21,1074.030833951021,2891.5636097357005,72513.45846085099,3544714.0547879743,124.78843706957552,-55537.26528649567,1176.203671693326,13063.281487678283,731.4166438530536,-13873.392077232047,3395308,draws/transport_direction_trials/projected_16.h5,means: -55537.3   1176.2  13063.3  731.417 | stds: 6924.33 103.301 159.167 230.582 | Number log_density evals: 3395308 | Acceptance rate: 0.9815 | Output: draws/transport_direction_trials/projected_16.h5
kappa,sas,random,10.0,100,3,0.5,17,2026062917,35.242341875098646,11277,True,100,56,131.02827948750928,11.833610885269325,39.80911406801904,18221.042823441698,3.009951616712253e-10,17.267664549025717,39.80911406801904,19381.179316855607,7.489026595181303e-10,25.13941721835688,-55775.60010333776,1179.7680125015393,13057.786393301301,722.6251728321587,-13874.104582689046,3373436,draws/transport_direction_trials/kappa_17.h5,means: -55775.6  1179.77  13057.8  722.625 | stds: 6750.07 100.675 157.456  218.35 | Number log_density evals: 3373436 | Acceptance rate: 0.989 | Output: draws/transport_direction_trials/kappa_17.h5
projected,sas,random,10.0,100,3,0.5,17,2026062917,35.063203915953636,12742,True,100,32,59747791717.91081,390.49507479121246,101.03932465601034,5.686887618624872,5.451062777766655e-124,458.4945951168387,139.54402665863216,5.686887618624872,0.00027630812471396947,151.18522118250718,-55431.29942208051,1174.5976392021591,13045.111340013567,735.7533367119956,-13872.187012122495,3349692,draws/transport_direction_trials/projected_17.h5,means: -55431.3   1174.6  13045.1  735.753 | stds: 6852.95 102.188  160.34 243.477 | Number log_density evals: 3349692 | Acceptance rate: 0.963767 | Output: draws/transport_direction_trials/projected_17.h5
kappa,sas,random,10.0,100,3,0.5,18,2026062918,35.89556908397935,14036,True,100,67,41914.576241714494,-47.45317158466009,-24.993700545674432,19927.42662807664,701.5492036697782,58.89059997945078,44.197206985798026,27146.608612222662,3046580.5684009464,74.93098179250654,-55410.290137811484,1174.2836326230067,13052.541585797986,717.5083003517493,-13874.095858660925,3429931,draws/transport_direction_trials/kappa_18.h5,means: -55410.3  1174.28  13052.5  717.508 | stds: 6783.54 101.198 171.794 234.219 | Number log_density evals: 3429931 | Acceptance rate: 0.985467 | Output: draws/transport_direction_trials/kappa_18.h5
projected,sas,random,10.0,100,3,0.5,18,2026062918,29.157218832988292,,False,100,23,822687502300.7095,432.10111697125336,-222.85118489412528,11.544112544012165,3.252670642118684e-152,437.27166935752354,223.0580290959478,11.546735769423316,5.360453476425445,167.7298730495233,-45.94716149785623,348.3437132080351,13576.856500338232,226.95760076235354,-13890.197442092445,2781515,draws/transport_direction_trials/projected_18.h5,means: -45.9472  348.344  13576.9  226.958 | stds:  307.91 24.2116 2484.01 113.814 | Number log_density evals: 2781515 | Acceptance rate: 0.873167 | Output: draws/transport_direction_trials/projected_18.h5
kappa,sas,random,10.0,100,3,0.5,19,2026062919,35.07960374990944,9969,True,100,76,51714384.06085847,25.72471910254089,83.73595635568354,16786.12468620498,88.86377481330294,26.72131356597378,84.16434984969455,17605.257552777253,1660381375.4681654,38.217222890606955,-56085.752962977545,1184.4037082607538,13030.676882917593,710.6434405564182,-13873.67243650023,3335785,draws/transport_direction_trials/kappa_19.h5,means: -56085.8   1184.4  13030.7  710.643 | stds: 7169.06 106.929 172.884 232.501 | Number log_density evals: 3335785 | Acceptance rate: 0.990433 | Output: draws/transport_direction_trials/kappa_19.h5
projected,sas,random,10.0,100,3,0.5,19,2026062919,52.08095187495928,21007,True,100,15,1609363301.0618744,-11.720398594789625,-100.46716192382097,3.1650728186583477,7.873579192342326e-153,26.566709153448937,103.80729514747159,3.165079232231953,0.04200337109757217,26.306524038747686,-23842.186856599885,704.0974854509857,13124.730775442633,511.6405262865674,-13875.092979441017,5117459,draws/transport_direction_trials/projected_19.h5,means: -23842.2  704.097  13124.7  511.641 | stds:   21264 316.783 183.962 287.519 | Number log_density evals: 5117459 | Acceptance rate: 0.874 | Output: draws/transport_direction_trials/projected_19.h5
